Date,AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
2014-03-18,44,Ozone,ROCKY FLATS-N,08-059-0006,AQS,74,31,60.0,03/18/2016,03/18/2003
2014-03-19,58,Ozone,Kenosha Pass,08-093-0001,AQS,93,27,62.4,03/19/2016,03/19/2006
2014-03-20,61,Ozone,Kenosha Pass,08-093-0001,AQS,87,36,52.8,03/20/2003,03/20/2000
2014-03-21,49,Ozone,Kenosha Pass,08-093-0001,AQS,73,40,54.0,03/21/2017,03/21/2000
2014-03-22,51,Ozone,Kenosha Pass,08-093-0001,AQS,107,42,53.4,03/22/2006,03/22/2005
2014-03-23,61,Ozone,Kenosha Pass,08-093-0001,AQS,95,40,52.8,03/23/2006,03/23/2007
2014-03-24,61,Ozone,Kenosha Pass,08-093-0001,AQS,100,38,54.0,03/24/2010,03/24/2007
2014-03-25,73,PM2.5,I-25,08-031-0027,AQS,71,27,58.0,03/25/2013,03/25/2002
2014-03-26,61,Ozone,Kenosha Pass,08-093-0001,AQS,93,41,53.8,03/26/2012,03/26/2009
2014-03-27,49,Ozone,Kenosha Pass,08-093-0001,AQS,77,44,53.4,03/27/2001,03/27/2015
2014-03-28,58,Ozone,Kenosha Pass,08-093-0001,AQS,112,43,55.2,03/28/2007,03/28/2004
2014-03-29,74,Ozone,Kenosha Pass,08-093-0001,AQS,74,35,49.2,03/29/2014,03/29/2019
2014-03-30,74,Ozone,Kenosha Pass,08-093-0001,AQS,74,37,50.4,03/30/2014,03/30/2000
2014-03-31,54,Ozone,Kenosha Pass,08-093-0001,AQS,77,39,50.4,03/31/2004,03/31/2001
2014-04-01,67,Ozone,Kenosha Pass,08-093-0001,AQS,97,42,55.6,04/01/2004,04/01/2008
2014-04-02,87,Ozone,Kenosha Pass,08-093-0001,AQS,87,29,57.4,04/02/2014,04/02/2002
2014-04-03,64,Ozone,Kenosha Pass,08-093-0001,AQS,108,44,66.6,04/03/2007,04/03/2001
2014-04-04,71,Ozone,Kenosha Pass,08-093-0001,AQS,87,44,58.8,04/04/2010,04/04/2000
2014-04-05,71,Ozone,Kenosha Pass,08-093-0001,AQS,77,42,63.0,04/05/2015,04/05/2003
2014-04-06,54,Ozone,Kenosha Pass,08-093-0001,AQS,126,32,56.6,04/06/2012,04/06/2007
2014-04-07,74,Ozone,Kenosha Pass,08-093-0001,AQS,87,40,58.0,04/07/2012,04/07/2008
2014-04-08,51,Ozone,Kenosha Pass,08-093-0001,AQS,80,40,57.8,04/08/2012,04/08/2002
2014-04-09,54,Ozone,Kenosha Pass,08-093-0001,AQS,100,41,60.0,04/09/2017,04/09/2004
2014-04-10,77,Ozone,Kenosha Pass,08-093-0001,AQS,112,36,63.6,04/10/2012,04/10/2019
2014-04-11,80,Ozone,Kenosha Pass,08-093-0001,AQS,84,43,68.2,04/11/2017,04/11/2001
2014-04-12,74,Ozone,Kenosha Pass,08-093-0001,AQS,105,37,59.8,04/12/2001,04/12/2007
2014-04-13,39,Ozone,Aspen Park,08-059-0013,AQS,133,39,56.4,04/13/2010,04/13/2014
2014-04-14,71,Ozone,Kenosha Pass,08-093-0001,AQS,133,45,63.4,04/14/2010,04/14/2000
2014-04-15,64,Ozone,Kenosha Pass,08-093-0001,AQS,93,33,68.0,04/15/2015,04/15/2000
2014-04-16,80,Ozone,Kenosha Pass,08-093-0001,AQS,93,47,62.2,04/16/2002,04/16/2016
2014-04-17,74,Ozone,Kenosha Pass,08-093-0001,AQS,112,45,78.0,04/17/2018,04/17/2003
2014-04-18,74,Ozone,Kenosha Pass,08-093-0001,AQS,119,41,74.6,04/18/2007,04/18/2009
2014-04-19,71,Ozone,Kenosha Pass,08-093-0001,AQS,112,36,68.0,04/19/2007,04/19/2002
2014-04-20,90,Ozone,Mount Evans,08-019-0005,AQS,105,40,73.8,04/20/2007,04/20/2011
2014-04-21,105,Ozone,Mount Evans,08-019-0005,AQS,108,44,69.6,04/21/2016,04/21/2001
2014-04-22,87,Ozone,Mount Evans,08-019-0005,AQS,140,40,79.0,04/22/2017,04/22/2019
2014-04-23,100,Ozone,Mount Evans,08-019-0005,AQS,133,45,82.2,04/23/2017,04/23/2004
2014-04-24,87,Ozone,Mount Evans,08-019-0005,AQS,90,39,72.0,04/24/2017,04/24/2005
2014-04-25,100,Ozone,Mount Evans,08-019-0005,AQS,100,44,76.0,04/25/2014,04/25/2005
2014-04-26,61,Ozone,Mount Evans,08-019-0005,AQS,90,46,63.6,04/26/2018,04/26/2000
2014-04-27,58,Ozone,Kenosha Pass,08-093-0001,AQS,122,43,63.6,04/27/2012,04/27/2005
2014-04-28,67,Ozone,Kenosha Pass,08-093-0001,AQS,112,29,63.4,04/28/2012,04/28/2005
2014-04-29,47,Ozone,Kenosha Pass,08-093-0001,AQS,84,24,58.4,04/29/2015,04/29/2004
2014-04-30,74,Ozone,Mount Evans,08-019-0005,AQS,87,42,70.4,04/30/2018,04/30/2010
2014-05-01,74,Ozone,Mount Evans,08-019-0005,AQS,84,42,63.2,05/01/2018,05/01/2009
2014-05-02,61,Ozone,Mount Evans,08-019-0005,AQS,80,35,61.0,05/02/2012,05/02/2001
2014-05-03,105,Ozone,Mount Evans,08-019-0005,AQS,105,36,73.0,05/03/2014,05/03/2001
2014-05-04,101,Ozone,Mount Evans,08-019-0005,AQS,105,31,75.8,05/04/2000,05/04/2001
2014-05-05,90,Ozone,Mount Evans,08-019-0005,AQS,112,46,76.4,05/05/2000,05/05/2009
2014-05-06,84,Ozone,Mount Evans,08-019-0005,AQS,93,45,70.0,05/06/2018,05/06/2007
2014-05-07,74,Ozone,Mount Evans,08-019-0005,AQS,137,38,67.4,05/07/2001,05/07/2000
2014-05-08,74,Ozone,Mount Evans,08-019-0005,AQS,108,27,63.0,05/08/2011,05/08/2000
2014-05-09,67,Ozone,Mount Evans,08-019-0005,AQS,105,40,69.6,05/09/2010,05/09/2003
2014-05-10,67,Ozone,Mount Evans,08-019-0005,AQS,108,38,63.0,05/10/2011,05/10/2009
2014-05-11,48,Ozone,Mount Evans,08-019-0005,AQS,97,22,70.0,05/11/2007,05/11/2005
2014-05-12,46,Ozone,Kenosha Pass,08-093-0001,AQS,90,36,66.2,05/12/2006,05/12/2005
2014-05-13,49,Ozone,Mount Evans,08-019-0005,AQS,108,27,67.2,05/13/2007,05/13/2004
2014-05-14,51,PM2.5,I-25,08-031-0027,AQS,101,47,73.8,05/14/2012,05/14/2011
2014-05-15,55,PM2.5,I-25,08-031-0027,AQS,112,38,70.4,05/15/2012,05/15/2003
2014-05-16,58,Ozone,Mount Evans,08-019-0005,AQS,140,43,68.2,05/16/2000,05/16/2001
2014-05-17,77,Ozone,Mount Evans,08-019-0005,AQS,156,33,60.2,05/17/2006,05/17/2016
2014-05-18,101,Ozone,Mount Evans,08-019-0005,AQS,101,42,58.6,05/18/2014,05/18/2015
2014-05-19,93,Ozone,Mount Evans,08-019-0005,AQS,105,37,61.6,05/19/2011,05/19/2003
2014-05-20,90,Ozone,Mount Evans,08-019-0005,AQS,90,40,62.0,05/20/2014,05/20/2003
2014-05-21,71,Ozone,Mount Evans,08-019-0005,AQS,108,42,71.6,05/21/2002,05/21/2009
2014-05-22,71,Ozone,Mount Evans,08-019-0005,AQS,112,43,69.4,05/22/2005,05/22/2000
2014-05-23,71,Ozone,Mount Evans,08-019-0005,AQS,105,38,85.6,05/23/2015,05/23/2001
2014-05-24,51,Ozone,Mount Evans,08-019-0005,AQS,115,41,79.8,05/24/2012,05/24/2002
2014-05-25,150,Ozone,Mount Evans,08-019-0005,AQS,150,37,82.2,05/25/2014,05/25/2004
2014-05-26,112,Ozone,Mount Evans,08-019-0005,AQS,112,44,70.0,05/26/2014,05/26/2000
2014-05-27,77,Ozone,Mount Evans,08-019-0005,AQS,115,25,72.0,05/27/2012,05/27/2008
2014-05-28,97,Ozone,Mount Evans,08-019-0005,AQS,164,41,68.6,05/28/2003,05/28/2008
2014-05-29,97,Ozone,Mount Evans,08-019-0005,AQS,115,37,68.6,05/29/2012,05/29/2005
2014-05-30,84,Ozone,Mount Evans,08-019-0005,AQS,105,33,80.4,05/30/2010,05/30/2005
2014-05-31,64,Ozone,Mount Evans,08-019-0005,AQS,129,54,71.8,05/31/2008,05/31/2016
2014-06-01,90,Ozone,Mount Evans,08-019-0005,AQS,112,51,72.0,06/01/2006,06/01/2015
2014-06-02,112,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,122,46,86.0,06/02/2006,06/02/2009
2014-06-03,119,Ozone,Mount Evans,08-019-0005,AQS,119,44,79.8,06/03/2014,06/03/2010
2014-06-04,133,Ozone,Mount Evans,08-019-0005,AQS,136,30,89.4,06/04/2006,06/04/2001
2014-06-05,115,Ozone,Mount Evans,08-019-0005,AQS,136,44,80.0,06/05/2004,06/05/2010
2014-06-06,105,Ozone,Mount Evans,08-019-0005,AQS,154,50,99.8,06/06/2018,06/06/2009
2014-06-07,87,Ozone,Mount Evans,08-019-0005,AQS,147,47,79.4,06/07/2011,06/07/2009
2014-06-08,77,Ozone,Mount Evans,08-019-0005,AQS,156,37,90.4,06/08/2002,06/08/2009
2014-06-09,100,Ozone,Mount Evans,08-019-0005,AQS,156,44,89.2,06/09/2002,06/09/2003
2014-06-10,93,Ozone,Mount Evans,08-019-0005,AQS,122,33,66.6,06/10/2006,06/10/2005
