"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"03/23/2015","54","PM2.5","I-25","08-031-0027","AQS","95","40","52.8","03/23/2006","03/23/2007"
"03/24/2015","46","Ozone","Aurora East","08-005-0006","AQS","100","38","54","03/24/2010","03/24/2007"
"03/25/2015","50","Ozone","Mines Peak","08-019-0006","AQS","71","27","58","03/25/2013","03/25/2002"
"03/26/2015","44","Ozone","Aurora East","08-005-0006","AQS","93","41","53.8","03/26/2012","03/26/2009"
"03/27/2015","44","Ozone","Mines Peak","08-019-0006","AQS","77","44","53.4","03/27/2001","03/27/2015"
"03/28/2015","49","Ozone","Mines Peak","08-019-0006","AQS","112","43","55.2","03/28/2007","03/28/2004"
"03/29/2015","54","Ozone","Mines Peak","08-019-0006","AQS","74","35","49.2","03/29/2014","03/29/2019"
"03/30/2015","64","Ozone","Aurora East","08-005-0006","AQS","74","37","50.4","03/30/2014","03/30/2000"
"03/31/2015","58","Ozone","WELCH","08-059-0005","AQS","77","39","50.4","03/31/2004","03/31/2001"
"04/01/2015","71","Ozone","Kenosha Pass","08-093-0001","AQS","97","42","55.6","04/01/2004","04/01/2008"
"04/02/2015","54","Ozone","Kenosha Pass","08-093-0001","AQS","87","29","57.4","04/02/2014","04/02/2002"
"04/03/2015","58","Ozone","Mines Peak","08-019-0006","AQS","108","44","66.6","04/03/2007","04/03/2001"
"04/04/2015","58","Ozone","Mines Peak","08-019-0006","AQS","87","44","58.8","04/04/2010","04/04/2000"
"04/05/2015","77","Ozone","ROCKY FLATS-N","08-059-0006","AQS","77","42","63","04/05/2015","04/05/2003"
"04/06/2015","64","Ozone","ROCKY FLATS-N","08-059-0006","AQS","126","32","56.6","04/06/2012","04/06/2007"
"04/07/2015","71","Ozone","Mines Peak","08-019-0006","AQS","87","40","58","04/07/2012","04/07/2008"
"04/08/2015","77","Ozone","Mines Peak","08-019-0006","AQS","80","40","57.8","04/08/2012","04/08/2002"
"04/09/2015","49","Ozone","Kenosha Pass","08-093-0001","AQS","100","41","60","04/09/2017","04/09/2004"
"04/10/2015","71","Ozone","Mines Peak","08-019-0006","AQS","112","36","63.6","04/10/2012","04/10/2019"
"04/11/2015","84","Ozone","ROCKY FLATS-N","08-059-0006","AQS","84","43","68.2","04/11/2017","04/11/2001"
"04/12/2015","61","Ozone","Mines Peak","08-019-0006","AQS","105","37","59.8","04/12/2001","04/12/2007"
"04/13/2015","51","Ozone","ROCKY FLATS-N","08-059-0006","AQS","133","39","56.4","04/13/2010","04/13/2014"
"04/14/2015","61","Ozone","Mines Peak","08-019-0006","AQS","133","45","63.4","04/14/2010","04/14/2000"
"04/15/2015","93","Ozone","Mines Peak","08-019-0006","AQS","93","33","68","04/15/2015","04/15/2000"
"04/16/2015","49","Ozone","Mines Peak","08-019-0006","AQS","93","47","62.2","04/16/2002","04/16/2016"
"04/17/2015","112","Ozone","Kenosha Pass","08-093-0001","AQS","112","45","78","04/17/2018","04/17/2003"
"04/18/2015","87","Ozone","Fairplay, Colorado","08-093-0002","AQS","119","41","74.6","04/18/2007","04/18/2009"
"04/19/2015","64","Ozone","Kenosha Pass","08-093-0001","AQS","112","36","68","04/19/2007","04/19/2002"
"04/20/2015","55","PM2.5","I-25","08-031-0027","AQS","105","40","73.8","04/20/2007","04/20/2011"
"04/21/2015","54","Ozone","Aurora East","08-005-0006","AQS","108","44","69.6","04/21/2016","04/21/2001"
"04/22/2015","64","Ozone","Mines Peak","08-019-0006","AQS","140","40","79","04/22/2017","04/22/2019"
"04/23/2015","74","Ozone","Mines Peak","08-019-0006","AQS","133","45","82.2","04/23/2017","04/23/2004"
"04/24/2015","64","Ozone","Aurora East","08-005-0006","AQS","90","39","72","04/24/2017","04/24/2005"
"04/25/2015","64","Ozone","ROCKY FLATS-N","08-059-0006","AQS","100","44","76","04/25/2014","04/25/2005"
"04/26/2015","47","Ozone","Mines Peak","08-019-0006","AQS","90","46","63.6","04/26/2018","04/26/2000"
"04/27/2015","49","Ozone","Mines Peak","08-019-0006","AQS","122","43","63.6","04/27/2012","04/27/2005"
"04/28/2015","67","Ozone","ROCKY FLATS-N","08-059-0006","AQS","112","29","63.4","04/28/2012","04/28/2005"
"04/29/2015","84","Ozone","Chatfield State Park","08-035-0004","AQS","84","24","58.4","04/29/2015","04/29/2004"
"04/30/2015","84","Ozone","ROCKY FLATS-N","08-059-0006","AQS","87","42","70.4","04/30/2018","04/30/2010"
"05/01/2015","71","Ozone","Mines Peak","08-019-0006","AQS","84","42","63.2","05/01/2018","05/01/2009"
"05/02/2015","77","Ozone","Mines Peak","08-019-0006","AQS","80","35","61","05/02/2012","05/02/2001"
"05/03/2015","77","Ozone","Mines Peak","08-019-0006","AQS","105","36","73","05/03/2014","05/03/2001"
"05/04/2015","60","PM2.5","I-25","08-031-0027","AQS","105","31","75.8","05/04/2000","05/04/2001"
"05/05/2015","59","PM2.5","I-25","08-031-0027","AQS","112","46","76.4","05/05/2000","05/05/2009"
"05/06/2015","64","Ozone","Mines Peak","08-019-0006","AQS","93","45","70","05/06/2018","05/06/2007"
"05/07/2015","64","Ozone","Mines Peak","08-019-0006","AQS","137","38","67.4","05/07/2001","05/07/2000"
"05/08/2015","61","Ozone","Mines Peak","08-019-0006","AQS","108","27","63","05/08/2011","05/08/2000"
"05/09/2015","97","Ozone","Mines Peak","08-019-0006","AQS","105","40","69.6","05/09/2010","05/09/2003"
"05/10/2015","49","Ozone","Aurora East","08-005-0006","AQS","108","38","63","05/10/2011","05/10/2009"
"05/11/2015","71","Ozone","Kenosha Pass","08-093-0001","AQS","97","22","70","05/11/2007","05/11/2005"
"05/12/2015","71","Ozone","Mines Peak","08-019-0006","AQS","90","36","66.2","05/12/2006","05/12/2005"
"05/13/2015","67","Ozone","Mines Peak","08-019-0006","AQS","108","27","67.2","05/13/2007","05/13/2004"
"05/14/2015","64","Ozone","Mines Peak","08-019-0006","AQS","101","47","73.8","05/14/2012","05/14/2011"
"05/15/2015","67","Ozone","Mines Peak","08-019-0006","AQS","112","38","70.4","05/15/2012","05/15/2003"
"05/16/2015","54","Ozone","Kenosha Pass","08-093-0001","AQS","140","43","68.2","05/16/2000","05/16/2001"
"05/17/2015","46","Ozone","Mines Peak","08-019-0006","AQS","156","33","60.2","05/17/2006","05/17/2016"
"05/18/2015","43","PM2.5","I-25","08-031-0027","AQS","101","42","58.6","05/18/2014","05/18/2015"
"05/19/2015","77","Ozone","Mines Peak","08-019-0006","AQS","105","37","61.6","05/19/2011","05/19/2003"
